Array_Size,Partition_N,Sample_Key,Found,Time_ns
40000,15,610833,Found,0
40000,17,202011,Found,0
40000,17,514029,Found,0
40000,17,731178,Found,0
40000,17,574191,Found,0
40000,17,256927,Found,0
40000,19,595691,Found,0
40000,19,223281,Found,0
40000,19,102446,Found,0
40000,19,323398,Found,0
40000,19,232180,Found,0
50000,2,774816,Found,0
50000,2,88843,Found,0
50000,2,802184,Found,0
50000,2,881556,Found,0
50000,2,201934,Found,0
50000,3,324910,Found,0
50000,3,595822,Found,0
50000,3,230942,Found,0
50000,3,7127,Found,0
50000,3,705499,Found,0
50000,5,846783,Found,0
50000,5,527067,Found,0
50000,5,773880,Found,0
50000,5,357846,Found,0
50000,5,683365,Found,0
50000,7,794435,Found,0
50000,7,292701,Found,0
50000,7,210336,Found,0
50000,7,342308,Found,0
50000,7,241453,Found,0
50000,9,392929,Found,0
50000,9,307511,Found,0
50000,9,439614,Found,0
50000,9,773992,Found,0
50000,9,949192,Found,0
50000,11,409009,Found,0
50000,11,18649,Found,0
50000,11,905828,Found,0
50000,11,491741,Found,0
50000,11,477819,Found,0
50000,13,439355,Found,0
50000,13,992470,Found,0
50000,13,521504,Found,0
50000,13,895341,Found,0
50000,13,424377,Found,0
50000,15,203089,Found,0
50000,15,606145,Found,0
50000,15,311458,Found,0
50000,15,422592,Found,0
50000,15,680290,Found,0
50000,17,624584,Found,0
50000,17,828062,Found,0
50000,17,661097,Found,0
50000,17,869812,Found,0
50000,17,778675,Found,0
50000,19,433460,Found,0
50000,19,540736,Found,0
50000,19,417826,Found,0
50000,19,221169,Found,0
50000,19,658068,Found,0
60000,2,93422,Found,0
60000,2,427557,Found,0
60000,2,74433,Found,0
60000,2,867235,Found,0
60000,2,689192,Found,0
60000,3,957332,Found,0
60000,3,322176,Found,0
60000,3,131917,Found,0
60000,3,316236,Found,0
60000,3,406485,Found,0
60000,5,695770,Found,0
60000,5,265625,Found,0
60000,5,646208,Found,0
60000,5,205730,Found,0
60000,5,875374,Found,0
60000,7,523032,Found,0
60000,7,137655,Found,0
60000,7,762058,Found,0
60000,7,254097,Found,0
60000,7,364300,Found,0
60000,9,817059,Found,0
60000,9,288692,Found,0
60000,9,767380,Found,0
60000,9,924309,Found,0
60000,9,711535,Found,0
60000,11,912147,Found,0
60000,11,232693,Found,0
60000,11,268902,Found,0
60000,11,725916,Found,0
